contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
IBIT260630C00028000,2026-04-21 16:12:15+00:00,28.0,15.58,17.0,17.25,0.0,0.0,48,25,0.7392604199218749,True,REGULAR,USD,call
IBIT260630C00029000,2026-04-22 16:42:57+00:00,29.0,16.2,16.05,16.25,1.6500006,11.34021,1,9,0.7050810742187501,True,REGULAR,USD,call
IBIT260630C00030000,2026-04-21 16:09:18+00:00,30.0,13.63,15.1,15.3,0.0,0.0,60,69,0.6796907031250001,True,REGULAR,USD,call
IBIT260630C00031000,2026-04-21 16:06:25+00:00,31.0,12.72,14.15,14.35,0.0,0.0,80,40,0.6533237792968751,True,REGULAR,USD,call
IBIT260630C00032000,2026-04-22 16:42:57+00:00,32.0,13.35,13.2,13.4,1.8000002,15.584416,1,25,0.6254920263671876,True,REGULAR,USD,call
IBIT260630C00033000,2026-04-21 19:41:40+00:00,33.0,10.54,12.25,12.5,0.0,0.0,136,18,0.6035195898437502,True,REGULAR,USD,call
IBIT260630C00034000,2026-04-22 13:52:22+00:00,34.0,11.46,11.35,11.55,1.7600002,18.144333,1,31,0.5795940478515625,True,REGULAR,USD,call
IBIT260630C00035000,2026-04-22 13:53:50+00:00,35.0,10.6,10.45,10.7,1.7700005,20.045305,95,255,0.5654340332031251,True,REGULAR,USD,call
IBIT260630C00036000,2026-04-22 16:37:26+00:00,36.0,9.83,9.6,9.8,1.94,24.588087,1,279,0.5473678076171876,True,REGULAR,USD,call
IBIT260630C00037000,2026-04-22 16:26:14+00:00,37.0,8.85,8.75,8.95,1.4900002,20.24457,36,246,0.5312546875,True,REGULAR,USD,call
IBIT260630C00038000,2026-04-22 16:32:57+00:00,38.0,8.12,7.9,8.1,1.79,28.278042,22,126,0.5114794946289063,True,REGULAR,USD,call
IBIT260630C00039000,2026-04-22 14:39:54+00:00,39.0,7.3,7.15,7.35,1.6400003,28.975271,17,296,0.5051319018554687,True,REGULAR,USD,call
