contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
IBIT260702C00020000,2026-06-17 18:01:36+00:00,20.0,17.1,16.25,16.6,0.8999996,5.555553,70.0,4,1.4609401953124999,True,REGULAR,USD,call
IBIT260702C00025000,2026-06-17 17:41:37+00:00,25.0,12.41,11.25,11.65,2.0299997,19.556837,55.0,3,1.0273486132812502,True,REGULAR,USD,call
IBIT260702C00027000,2026-06-17 19:39:36+00:00,27.0,9.55,9.3,9.65,-1.21,-11.245353,70.0,3,0.8867198828124999,True,REGULAR,USD,call
IBIT260702C00028000,2026-06-16 15:15:14+00:00,28.0,9.25,8.35,8.65,0.0,0.0,98.0,16,0.8320329296874999,True,REGULAR,USD,call
IBIT260702C00029000,2026-06-17 14:24:34+00:00,29.0,8.1,7.35,7.65,-0.60999966,-7.0034404,25.0,2,0.7402369726562499,True,REGULAR,USD,call
IBIT260702C00030000,2026-06-17 19:09:25+00:00,30.0,7.0,6.35,6.7,-0.3499999,-4.761904,2.0,31,0.6757844921875001,True,REGULAR,USD,call
IBIT260702C00031000,2026-06-11 17:49:24+00:00,31.0,5.3,5.4,5.7,0.0,0.0,1.0,6,0.6074258007812501,True,REGULAR,USD,call
IBIT260702C00032000,2026-06-17 19:39:36+00:00,32.0,4.71,4.45,4.75,-1.1599998,-19.761497,70.0,31,0.5507857421875001,True,REGULAR,USD,call
IBIT260702C00033000,2026-06-16 15:15:14+00:00,33.0,4.42,3.6,3.85,0.0,0.0,98.0,87,0.526371923828125,True,REGULAR,USD,call
IBIT260702C00033500,2026-06-15 15:50:46+00:00,33.5,4.67,3.1,3.4,0.0,0.0,,1,0.5576216113281252,True,REGULAR,USD,call
IBIT260702C00034000,2026-06-17 13:36:12+00:00,34.0,2.92,2.71,2.98,-0.6799998,-18.888885,2.0,268,0.53320779296875,True,REGULAR,USD,call
IBIT260702C00034500,2026-06-17 15:32:08+00:00,34.5,2.88,2.32,2.57,-0.18999982,-6.188919,1.0,6,0.507817421875,True,REGULAR,USD,call
