contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
IBIT260325C00026000,2026-03-12 15:39:31+00:00,26.0,14.05,13.95,14.9,0.0,0.0,,1,1.765626171875,True,REGULAR,USD,call
IBIT260325C00028000,2026-03-10 16:39:50+00:00,28.0,12.62,12.0,12.9,0.0,0.0,,4,1.5585959570312498,True,REGULAR,USD,call
IBIT260325C00030000,2026-03-18 18:05:10+00:00,30.0,10.84,10.0,10.85,-0.9200001,-7.8231297,204.0,1,1.2695349023437497,True,REGULAR,USD,call
IBIT260325C00031000,2026-03-17 17:50:18+00:00,31.0,11.39,9.1,9.25,0.0,0.0,40.0,3,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT260325C00031500,2026-03-17 13:52:05+00:00,31.5,10.3,8.65,8.75,0.0,0.0,3.0,5,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT260325C00032000,2026-03-13 18:12:20+00:00,32.0,8.45,8.15,8.25,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT260325C00033000,2026-03-17 15:35:56+00:00,33.0,9.0,7.15,7.25,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT260325C00035000,2026-03-18 19:09:00+00:00,35.0,5.6,5.2,5.35,-1.1600003,-17.159767,208.0,0,0.6132851171875001,True,REGULAR,USD,call
IBIT260325C00036000,2026-03-17 17:50:18+00:00,36.0,5.16,4.25,4.4,-1.2400002,-19.375004,1.0,42,0.5722699023437501,True,REGULAR,USD,call
IBIT260325C00038000,2026-03-18 16:09:39+00:00,38.0,2.8,2.55,2.62,-1.6499999,-37.07865,5.0,17,0.500005,True,REGULAR,USD,call
IBIT260325C00038500,2026-03-18 18:54:37+00:00,38.5,2.38,2.16,2.22,-1.73,-42.092457,1.0,14,0.485356708984375,True,REGULAR,USD,call
IBIT260325C00039000,2026-03-18 19:56:11+00:00,39.0,1.97,1.8,1.86,-1.72,-46.612465,109.0,77,0.47852083984375,True,REGULAR,USD,call
IBIT260325C00039500,2026-03-18 18:56:39+00:00,39.5,1.63,1.49,1.53,-1.57,-49.0625,91.0,209,0.47070841796875,True,REGULAR,USD,call
IBIT260325C00040000,2026-03-18 19:42:01+00:00,40.0,1.29,1.19,1.23,-1.5799999,-55.052265,1326.0,266,0.46191944335937507,True,REGULAR,USD,call
IBIT260325C00040500,2026-03-18 19:58:53+00:00,40.5,1.02,0.94,0.98,-1.3499999,-56.96202,148.0,24,0.459966337890625,False,REGULAR,USD,call
IBIT260325C00041000,2026-03-18 20:13:01+00:00,41.0,0.73,0.72,0.76,-1.3899999,-65.56603,182.0,145,0.454107021484375,False,REGULAR,USD,call
